year,kind,severity,magnitude_pv,colson_panofsky,brown1,temperature_gradient,horizontal_divergence,vertical_wind_shear,endlich,deformation,wind_speed,ngm2,negative_richardson,rva_magnitude,ubf,nva,brown2,vorticity_squared,ti1,ngm1,ti2,f2d,ncsu1,ensemble
1996,rate,light_to_moderate,0.0235351583201,0.000792558765788,0.0226283605801,0.0339244661117,0.0115619694193,0.0310447810955,0.0112434962514,0.0195003561743,0.0112422048201,0.0039557466943,0.0008524542338,0.0172758752019,0.00460274832795,0.0159639376303,0.0356796707599,0.0169784810455,0.0308239034309,0.0210865835366,0.0282593260884,0.000895076904455,0.0118110407372,0.0168408664823
1996,rate,moderate,0.0128811871888,0.000517266435185,0.00972800837134,0.0157245439858,0.00503257614696,0.0160240182397,0.00509922095942,0.0084808348667,0.00559579469085,0.00156717916628,0.000251801866908,0.00775200505772,0.00127002253489,0.00730485072006,0.0178773941381,0.00701630930843,0.0153375701258,0.0101904574691,0.0139211699643,0.000305281583675,0.00525828841713,0.00795884672558
1996,rate,moderate_to_severe,0.0075339411581,0.00037118894748,0.00460324528127,0.00781517476529,0.00238691141809,0.00880154571542,0.00259412604174,0.00407649810056,0.00303144059081,0.000740493371598,8.33928587051e-05,0.00380901820735,0.000360601088469,0.00367074144885,0.00945840726305,0.00323166717888,0.00818404477878,0.00552604955461,0.00729792860369,0.000131393660879,0.00254641146562,0.00410734388092
1996,rate,severe,0.00431613938587,0.00027403914844,0.00215364108684,0.00372511422196,0.0010660590997,0.00472155712123,0.00135403573543,0.00193205782393,0.00161009356153,0.000351147607988,3.62666629787e-05,0.00180701558892,8.30526613732e-05,0.00180705434636,0.00488401285667,0.00144350011977,0.00424616514331,0.00298117918418,0.0037374070372,6.04155704037e-05,0.0011490151573,0.0020828080534
1996,finite,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2928
1997,rate,light,0.0703748627129,0.00229651357735,0.0790959228194,0.106417986672,0.0432784931014,0.0853512077153,0.0419755695403,0.0696023147338,0.0378229020319,0.0182426533054,0.00775971939179,0.0627531017415,0.0293246587507,0.0558250939393,0.100039402093,0.0731955957764,0.0888649653042,0.0677173573642,0.0803610717634,0.00661280786922,0.0389332687631,0.0555164509032
1997,rate,light_to_moderate,0.0328397351542,0.00108807222978,0.0262524093662,0.0398807354379,0.0137724696635,0.0352409991301,0.0140960376591,0.0230206127755,0.0100936185277,0.00499033691371,0.00117465507688,0.021605708115,0.00620003436179,0.0198030707426,0.0398515447401,0.0196723154254,0.0346665670461,0.0238332676752,0.031447929422,0.00137088076387,0.0130166609238,0.0197103648167
1997,rate,moderate,0.0185653146299,0.000741136122934,0.0118552695682,0.0194806338721,0.00616471347715,0.0188996057067,0.00664052534223,0.0104123018546,0.00453803688589,0.0020238056072,0.000356187444877,0.010143321806,0.00181713449743,0.00952015499904,0.0204775014643,0.0085076545545,0.0177750268492,0.0117545449985,0.0160462670005,0.000436820806907,0.00604837956204,0.00962877795477
1997,rate,moderate_to_severe,0.0110134030551,0.000515912765675,0.00570443377274,0.0101960124365,0.00295521128444,0.0108655692932,0.00336483614131,0.0050487715414,0.00238677336229,0.000929348639217,0.000115856049615,0.00517280149085,0.000552035525061,0.00496348708708,0.0112622688465,0.00408935492042,0.00970001647559,0.00639107395138,0.00875084574723,0.000163643410594,0.00301695007206,0.00510279075563
1997,rate,severe,0.00639863844742,0.000348665604774,0.00261079102972,0.00509839426261,0.00132136260037,0.00604934448167,0.00169126232922,0.00236122433064,0.0012779034757,0.00042634467527,4.1943161742e-05,0.00257039593098,0.000139183525343,0.0025026634722,0.0060305112015,0.00193507980369,0.00512837238711,0.00347563423464,0.00468146751306,6.6278931495e-05,0.0013826580667,0.00264467235552
