subdir,store,n_problems,problems
derived/north_atlantic_audit,diagnostics_na_2009-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2009-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2009-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2009-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2009-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2009-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2009-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2009-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2009-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2010-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2010-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2010-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2010-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2010-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2010-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2010-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2010-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2010-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2010-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2010-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2010-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2011-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2011-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2011-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2011-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2011-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2011-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2011-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2011-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2011-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2011-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2011-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2011-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2012-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2012-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2012-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2012-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2012-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2012-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2012-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2012-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2012-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2012-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2012-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2012-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2013-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2013-02.zarr,0,
